target,source,Coste,player
AC Milan,Chelsea,"20,00 mill. €",Christian PulisicC. Pulisic
AC Milan,Chelsea,"18,50 mill. €",Ruben Loftus-CheekR. Loftus-Cheek
Al-Ahli,Chelsea,"18,50 mill. €",Edouard MendyE. Mendy
Leeds,Chelsea,"8,10 mill. €",Ethan AmpaduE. Ampadu
AS Roma,Chelsea,"Coste de cesión: 5,80 mill. €",Romelu LukakuR. Lukaku
Fulham,Chelsea,"Coste de cesión: 4,70 mill. €",Armando BrojaA. Broja
Nottm Forest,Chelsea,"3,50 mill. €",Callum Hudson-OdoiC. Hudson-Odoi
Lyon,Chelsea,"Coste de cesión: 2,80 mill. €",Diego MoreiraD. Moreira
Bor. Dortmund,Chelsea,"Coste de cesión: 2,30 mill. €",Ian MaatsenI. Maatsen
Real Madrid,Chelsea,"Coste de cesión: 1,00 mill. €",Kepa ArrizabalagaK. Arrizabalaga
Ipswich,Chelsea,"Coste de cesión: 1,00 mill. €",Omari HutchinsonO. Hutchinson
PAOK,Chelsea,Libre,Abdul Rahman BabaA. Baba
Marsella,Chelsea,Libre,Pierre-Emerick AubameyangP. Aubameyang
Atlético Madrid,Chelsea,Libre,César AzpilicuetaC. Azpilicueta
FC Lorient,Chelsea,Libre,Tiemoué BakayokoT. Bakayoko
Al-Ittihad,Chelsea,Libre,N'Golo KantéN. Kanté
Galatasaray,Chelsea,Cesión,Hakim ZiyechH. Ziyech
Nottm Forest,Chelsea,Cesión,Andrey SantosA. Santos
Burnley,Chelsea,Cesión,David Datro FofanaD. Fofana
Unión Berlín,Chelsea,Cesión,David Datro FofanaD. Fofana
Leicester City,Chelsea,Cesión,Cesare CasadeiC. Casadei
Brommapojkarna,Chelsea,Cesión,Lucas BergströmL. Bergström
Newcastle Utd.,Chelsea,Cesión,Lewis HallL. Hall
KAS Eupen,Chelsea,Cesión,Gabriel SloninaG. Slonina
Estrasburgo,Chelsea,Cesión,Andrey SantosA. Santos
Estrasburgo,Chelsea,Cesión,ÂngeloÂngelo
Juventus,Chelsea,Fin de cesión 30/06/2023,Denis ZakariaD. Zakaria
Atlético Madrid,Chelsea,Fin de cesión 30/06/2023,João FélixJoão Félix
Crystal Palace,Blackburn,"21,10 mill. €",Adam WhartonA. Wharton
Crystal Palace,Flamengo,"20,00 mill. €",Matheus FrançaMatheus França
Crystal Palace,Manchester Utd.,"17,50 mill. €",Dean HendersonD. Henderson
Crystal Palace,KRC Genk,"8,00 mill. €",Daniel MuñozD. Muñoz
Crystal Palace,Arsenal,"1,20 mill. €",Rob HoldingR. Holding
Crystal Palace,Bournemouth,Libre,Jefferson LermaJ. Lerma
Crystal Palace,Carlisle United,Fin de cesión 04/01/2024,Luke PlangeL. Plange
Crystal Palace,Manchester Utd.,Fin de cesión 30/06/2023,Jack ButlandJ. Butland
Shabab Al-Ahli,Crystal Palace,Libre,Luka MilivojevicL. Milivojevic
Rangers FC,Crystal Palace,Libre,Jack ButlandJ. Butland
Galatasaray,Crystal Palace,Libre,Wilfried ZahaW. Zaha
RC Celta,Crystal Palace,Libre,Vicente GuaitaV. Guaita
RWDM,Crystal Palace,Cesión,Malcolm EbioweiM. Ebiowei
HJK Helsinki,Crystal Palace,Cesión,Luke PlangeL. Plange
FC St. Pauli,Crystal Palace,Cesión,Scott BanksS. Banks
Carlisle United,Crystal Palace,Cesión,Luke PlangeL. Plange
Retirado,Crystal Palace,-,James McArthurJ. McArthur
Everton,Udinese,"25,00 mill. €",BetoBeto
Everton,Sporting Lisboa,"12,50 mill. €",ChermitiChermiti
Everton,Villarreal CF,"Coste de cesión: 3,00 mill. €",Arnaut DanjumaA. Danjuma
Everton,Aston Villa,Libre,Ashley YoungA. Young
Everton,Leeds,Cesión,Jack HarrisonJ. Harrison
Everton,Everton U21,-,Lewis DobbinL. Dobbin
Everton,Everton U21,-,Tom CannonTom Cannon
Everton,Sheff Utd,Fin de cesión 31/05/2024,Mason HolgateM. Holgate
Everton,Juventus,Fin de cesión 30/06/2023,Moise KeanM. Kean
Everton,PSV Eindhoven,Fin de cesión 30/06/2023,Jarrad BranthwaiteJ. Branthwaite
Everton,Southampton,Fin de cesión 31/01/2024,Mason HolgateM. Holgate
Everton,LOSC Lille,Fin de cesión 30/06/2023,André GomesA. Gomes
Everton,SC Cambuur,Fin de cesión 30/06/2023,João VirgíniaJ. Virgínia
Everton,St-Étienne,Fin de cesión 30/06/2023,Niels NkounkouN. Nkounkou
Everton,Besiktas,Fin de cesión 30/06/2023,Dele AlliDele Alli
Everton,Trabzonspor,Fin de cesión 30/06/2023,Jean-Philippe GbaminJ. Gbamin
Juventus,Everton,"30,00 mill. €",Moise KeanM. Kean
Fulham,Everton,"25,70 mill. €",Alex IwobiA. Iwobi
Al-Ettifaq,Everton,"9,30 mill. €",Demarai GrayD. Gray
Leicester City,Everton,"8,80 mill. €",Tom CannonTom Cannon
